cohort,k,cluster,example_id,text_snippet
all_meaningful,3,0,0,"this is like when you get introduced to someone by a friend who has been talking a lot about how funny you are, and the new person says ""say something funny."" okay, i'm funny. i refuse to take anything seriously (for more information on why, ask me about the day i was riding my bike in the rain). i am smart, but not as smart as i think i am and smarter than i know. i am sometimes shy and sometimes an extrovert, but i can never tell which is going to come out on top. i have committed an act of pi"
all_meaningful,3,0,1,"if i rated you highly definitely send me a message. interested! ---------- i'm open minded. if you are gay, bi or straight. a boy or a girl. it doesn't matter. if i rated you highly i'm liking what i see. :d ---------- i didn't put so much time in my profile for nothing. please respect that and read it before you message me. (said with a smile) --- (all updates still apply to date) update 6-18-2012: i've had a rocky moment in my life recently, so now i'm moving out of my boyfriend's place and mo"
all_meaningful,3,0,2,i just want to find love someone to love and someone to love me and with luck eventually meet someone to spend the rest of my life with. i mean it as a desire not as the only goal. i want to have fun too. i believe very strongly the best way to find and be in a lasting relationship is to take the time to really get to know each other and build a friendship and a trust first. it has been my experience that rushed relationships don't last. the only relationships i have ever been in that really wor
all_meaningful,3,0,3,"this profile is in desperate need of revision, most of it written 2 years ago. but i'm too busy living my life! still single though, so if you think we might be a fit, shoot me an email. haven't given up yet! i know you're out there, you big lug. *********************************************** i have to say, i don't like that the multiple choice answers we are offered have so much black and white, and not nearly enough of the wonderful greys of life. i think they're constructed poorly, and i wou"
all_meaningful,3,0,4,"i was raised in portland by parents who were both farming kids. so i embody the ideals people associate with my hometown and the perspective my folks brought to the table. i travel a lot-always on the move, so i'm not expecting to find someone to mesh entirely with that, rather, a few people that can share different aspects of it with me. enjoying it. feeling as though i live a charmed existence. i spend a lot of time in motion. living nowhere really, but in the same places often. i work a few j"
all_meaningful,3,1,0,"a quick note on my kinda random/odd profile name: it's the name of my favorite san francisco giants baseball player from my childhood ( one candido ""candy"" maldonado). he's one of those players that the teams diehard fans either loved or hated - no middleground. and i'm guessing that a reason why i liked him then was because i also liked eating candy a lot in those years - or something along those lines..................... i hadn't updated stuff on here for quite some time (the updating is mid "
all_meaningful,3,1,1,"update september: thank you so much for visiting me! feel free to poke around in my profile and even message me, if you want...but not for dating. my dance card is full right now~ yay! so, it doesn't mean i will never answer emails, but i will probably be on here very infrequently and only for fun/occasional discussions on the nature of life and love on okc. so unless i start lookin' for gentleman callers again, my journal promise to respond to all is hereby suspended. i wish you your soulmate! "
all_meaningful,3,1,2,"i am the eternal optimist, and so far i've found that it's served me well enough. there's just so much to do &amp; try in the world. so, what moves to the top of the list? well, i love people, and the physical and emotional connections. (why else be here on okc, right?) which brings up the next big issue to get out early: i have an open, relationship with my amazing wife of nearly 10 years, ladidido , who is having a blast on this site (maybe too much so, she's stealing away precious sleep). als"
all_meaningful,3,1,3,"east coast transplant and it is a long and interesting story. now in the east bay. firstly if you are not wholely single state that in your profile and i will do the same once i am off the market. i have tried to talk to a few people and was blocked at the starting gate. please it is only good manners even if you are ""unsure"" of your status with that person state it at least in your self-summary so people don't message you wanting to date..now that is out of the way.. my name is paul and i'm 35 "
all_meaningful,3,1,4,"i'm born and raised in the sf bay area, and went to ucla for college. i've been fortunate to travel quite a bit in my life. while in college, i spent a semester abroad in the uk at cambridge, and when all that studying was over, my friend and i went backpacking around europe for a month. in between random bouts of drinking and merrymaking, we managed to do fun things like travel to venice, where i saw the first snows of winter, made a snowman in the piazza san marco, and had my picture taken for"
all_meaningful,3,2,0,"i have been creating who i am my whole life and i am not done growing. what i am getting at is that i find it really difficult to summarize or define someone. i can pretty much just tell you things i enjoy in life and perhaps that will give you some insite on the type of person i am. if you want to put a label on me, i think nerdy-hipster would be most fitting, but who likes labels? i am a huge music dude. i play the <a class=""ilink"" href= ""/interests?i=drums"">drums and a little <a class=""ilink"""
all_meaningful,3,2,1,"born an army brat (a title held for two weeks) with a weird first name (a title held indefinitely), i grew up my entire life in the confines of california. a lot of stuff happened in the early years. i rode my bike a lot, went trick-or treating. visited turkey. watched reruns of doug endlessly. ate some turkey (although i'm now a vegetarian). fancied a girl or two for a year in secret. finished fifth in the elementary school turkey trot. enjoyed being the silent/studious learner while being the "
all_meaningful,3,2,2,"i grew up in rural tennessee, though as you can see from the profile, i'm not a typical tennessee-native. i'm <a class=""ilink"" href=""/interests?i=queer"">queer (or <a class=""ilink"" href= ""/interests?i=bisexual"">bisexual , though i don't really like that word), <a class=""ilink"" href= ""/interests?i=polyamorous"">polyamorous , pretty <a class=""ilink"" href=""/interests?i=kinky"">kinky , and an <a class=""ilink"" href= ""/interests?i=esoteric"">esoteric <a class=""ilink"" href= ""/interests?i=discordian"">discor"
all_meaningful,3,2,3,"no girls allowed! real woman (51-77) deeply desired by loving , laughing , learned , <a class= ""ilink"" href=""/interests?i=lusty"">lusty , <a class=""ilink"" href= ""/interests?i=literate"">literate , <a class=""ilink"" href= ""/interests?i=likable"">likable , loquacious yet a listener . a leo (if it matters to you,) and large where it should matter to you: in <a class=""ilink"" href= ""/interests?i=heart"">heart , <a class=""ilink"" href= ""/interests?i=head"">head , <a class=""ilink"" href= ""/interests?i=hands"">h"
all_meaningful,3,2,4,"no girls allowed! real woman (51-77) deeply desired by loving , laughing , learned , <a class= ""ilink"" href=""/interests?i=lusty"">lusty , <a class=""ilink"" href= ""/interests?i=literate"">literate , <a class=""ilink"" href= ""/interests?i=likable"">likable , loquacious yet a listener . a leo (if it matters to you,) and large where it should matter to you: in <a class=""ilink"" href= ""/interests?i=heart"">heart , <a class=""ilink"" href= ""/interests?i=head"">head , <a class=""ilink"" href= ""/interests?i=hands"">h"
all_meaningful,4,0,0,"fyi: this profile is under slight work. mostly making many 'maybes' into 'absolutes'. let's get this ball rolling. i'm a 23 year old male, but hell, anyone can find that info. so, how about i give you all those juicy tidbits you ain't finding on the top of the page? still with me? good. if it's bolded, i think it's important. if you're short on time, just hit those nice thick, black letters and skip the rest . if you really want to know what i'm about, i hope you enjoy reading. don't worry. i'll"
all_meaningful,4,0,1,"this is like when you get introduced to someone by a friend who has been talking a lot about how funny you are, and the new person says ""say something funny."" okay, i'm funny. i refuse to take anything seriously (for more information on why, ask me about the day i was riding my bike in the rain). i am smart, but not as smart as i think i am and smarter than i know. i am sometimes shy and sometimes an extrovert, but i can never tell which is going to come out on top. i have committed an act of pi"
all_meaningful,4,0,2,"if i rated you highly definitely send me a message. interested! ---------- i'm open minded. if you are gay, bi or straight. a boy or a girl. it doesn't matter. if i rated you highly i'm liking what i see. :d ---------- i didn't put so much time in my profile for nothing. please respect that and read it before you message me. (said with a smile) --- (all updates still apply to date) update 6-18-2012: i've had a rocky moment in my life recently, so now i'm moving out of my boyfriend's place and mo"
all_meaningful,4,0,3,"update: new moon on august 28, 2011: i am presently just seeking friends/penpals for the immediate future. the original profile is out of date and substantial parts no longer make sense. my last original version is below if you're curious. ************************************************** oh happy happy, joy joy. i get to write about myself so you can read something. ugh. self-summary? ha! me? summarize anything? again i exclaim, ha!! i have never been accused of being laconic at any time that "
all_meaningful,4,0,4,"you stand before the great wall of text. paragraph upon paragraph extends out before you in a frightening manner, daring you to read and be enlightened, or to turn tail and find an easier mark. exits are up, down, read, message, and run the hell away... i think i'm a pretty relaxed guy; it's very hard to rile me up and get me angry about things. that's not to say that i don't feel strongly about things, just that i try not to take offense at what people say or do. i can't hold grudges at all, an"
all_meaningful,4,1,0,"i have been creating who i am my whole life and i am not done growing. what i am getting at is that i find it really difficult to summarize or define someone. i can pretty much just tell you things i enjoy in life and perhaps that will give you some insite on the type of person i am. if you want to put a label on me, i think nerdy-hipster would be most fitting, but who likes labels? i am a huge music dude. i play the <a class=""ilink"" href= ""/interests?i=drums"">drums and a little <a class=""ilink"""
all_meaningful,4,1,1,"born an army brat (a title held for two weeks) with a weird first name (a title held indefinitely), i grew up my entire life in the confines of california. a lot of stuff happened in the early years. i rode my bike a lot, went trick-or treating. visited turkey. watched reruns of doug endlessly. ate some turkey (although i'm now a vegetarian). fancied a girl or two for a year in secret. finished fifth in the elementary school turkey trot. enjoyed being the silent/studious learner while being the "
all_meaningful,4,1,2,"no girls allowed! real woman (51-77) deeply desired by loving , laughing , learned , <a class= ""ilink"" href=""/interests?i=lusty"">lusty , <a class=""ilink"" href= ""/interests?i=literate"">literate , <a class=""ilink"" href= ""/interests?i=likable"">likable , loquacious yet a listener . a leo (if it matters to you,) and large where it should matter to you: in <a class=""ilink"" href= ""/interests?i=heart"">heart , <a class=""ilink"" href= ""/interests?i=head"">head , <a class=""ilink"" href= ""/interests?i=hands"">h"
all_meaningful,4,1,3,"no girls allowed! real woman (51-77) deeply desired by loving , laughing , learned , <a class= ""ilink"" href=""/interests?i=lusty"">lusty , <a class=""ilink"" href= ""/interests?i=literate"">literate , <a class=""ilink"" href= ""/interests?i=likable"">likable , loquacious yet a listener . a leo (if it matters to you,) and large where it should matter to you: in <a class=""ilink"" href= ""/interests?i=heart"">heart , <a class=""ilink"" href= ""/interests?i=head"">head , <a class=""ilink"" href= ""/interests?i=hands"">h"
all_meaningful,4,1,4,"note: i am not sane, down to earth, or easy going. i feel this is important to tell people since so many people list these qualities as necessary. i am whimsical as fuck. i'm not quite as delightfully <a class= ""ilink"" href=""/interests?i=bohemian"">bohemian as i once was. i like gothic aesthetics and <a class=""ilink"" href= ""/interests?i=hippie"">hippie <a class=""ilink"" href= ""/interests?i=ideals"">ideals . i like <a class=""ilink"" href= ""/interests?i=geek"">geek y diversions and <a class=""ilink"" href"
all_meaningful,4,2,0,facebook free!!! im a shy girl that likes to be surrounded by people. lol im a visual person so im easily entertained. i love a good european beer and listening to bands in small town bars. im friendly and open and i still practice my basic manners. i work retail and love meating and hearing about different peoples lives. ive had an interesting one. i tell everyone im old and i get weird looks but im just an old soul. im not exactly on track with my life but im enjoying the detours. i wish i cou
all_meaningful,4,2,1,"hey! my name is brandon. bona fide catholic! god is good! bd so i'm looking for a man. someone to take charge. hit me up! i grew up in my hometown all my life. it would have been nice to have been born in the philippines though. that way i could speak my own language damnit! haha. so im currently going to school for nursing, just chillin. hit me up okay? im kind of shy, but im not quiet. (oxymoron right?) haha. i try my best to be friendly. laughing is great, so if you can make me laugh we'll be"
all_meaningful,4,2,2,"im everybody's favorite villain; its not that im bad, or anything... lets just say honestly isnt appreciated as much as people say it should be. im pretty sure its irritating. regardless of that fact, people's view of me is kinda moot. in my book, i can only be myself, and i cant be anything other than that. but even so, im very carefree, and lighthearted, with a weird sense of humor: most of the things i laugh at makes others go ""???"". i also fancy myself a proper gentleman; so youll either thi"
all_meaningful,4,2,3,"hello! im ashley! im bay area born and raised. im a really down to earth person, very easy to get along with. i love to talk on topics that interest me, im an outdoors person, love to hike, go camping, swimming, bike riding, fishing etc. i live for music, cant go a day without playing my guitar or bass. if your interested in gettin to know me please feel free to message me. well at the moment im unemployed but im looking!..i joined a black metal band as their bass player awhile ago which as been"
all_meaningful,4,2,4,"since imitation is the sincerest form of flattery, i want to go ahead and rip of off a quote from another profile i've seen online recently... ""years from now when my children ask me who my true love was i don't want to pull out an old photo album. i want to point across the room and say, ""she's sitting right there."" i think that's beautiful and real. i've changed it slightly (it was a lady's profile) but i mean, that's what most people want if they're painfully honest with themselves, right? ok"
all_meaningful,4,3,0,"i love a man who is intelligent, has a sense of humor &amp; adventure, who likes animals, has a passion for life &amp; who likes to communicate!... i am not interested in trying to figure you out by a few sentences on your self-summary. (and if you can fix &amp; build things... wow!) i also love views, art, architecture, photography, museums, gardens. fresh flowers. tulip magnolias, cherry blossoms and dogwoods in the spring. helping others to feel better. live music, not so-live music. singing "
all_meaningful,4,3,1,"warning: dating jack is speculative, potentially dangerous and not for the faint of heart. an evening out could contain extreme adventure, uncontrollable laughter, deep conversation and exhilarating experiences that you are not used to and could cause mild discomfort. i have insurance but it may not be enough - especially if you have a pacemaker. you may even be forced to rethink the idea that 'all of the good guys are taken'. i know that sounds like just plain crazy talk so please read the fine"
